adm0,adm1,exp,rep,reprat
Federal Government of Somalia,Bakool Region,2032,747,0.3676181102362205
Federal Government of Somalia,Bay Region,3714,1693,0.45584275713516426
Federal Government of Somalia,Benadir Region,7020,2974,0.4236467236467236
Federal Government of Somalia,Galgadud Region,4816,1286,0.2670265780730897
Federal Government of Somalia,Gedo Region,4642,2050,0.44161999138302455
Federal Government of Somalia,Hiiraan Region,2902,948,0.326671261199173
Federal Government of Somalia,Lower Juba Region,3018,1615,0.5351225977468522
Federal Government of Somalia,Lower Shabelle Region,4990,2085,0.41783567134268534
Federal Government of Somalia,Middle Jubba Region,1104,30,0.02717391304347826
Federal Government of Somalia,Middle Shebelle Region,2902,938,0.3232253618194349
Federal Government of Somalia,Mudug Region,4120,878,0.21310679611650485
Puntland,Ayn Region,1200,454,0.37833333333333335
Puntland,Bari Region,3420,1356,0.39649122807017545
Puntland,Gardafuu Region,1140,397,0.3482456140350877
Puntland,Karkaar Region,3120,1179,0.3778846153846154
Puntland,Mudug Region,3660,1517,0.4144808743169399
Puntland,Nugaal Region,3360,1663,0.4949404761904762
Puntland,Sanaag Region,1860,805,0.4327956989247312
Puntland,Sool Region,1680,473,0.28154761904761905
Somaliland,Awdal Region,4920,2219,0.4510162601626016
Somaliland,Marodi-Jeh Region,6720,3227,0.48020833333333335
Somaliland,Sahil Region,3720,1377,0.37016129032258066
Somaliland,Sanag Region,6000,1814,0.30233333333333334
Somaliland,Sool Region,4200,1646,0.3919047619047619
Somaliland,Togdher Region,7680,2752,0.35833333333333334
